TxnID,TxnDate,UserID,StateCode,AppID,Amount,Status,BankID,TxnType,Channel,DeviceOS,SettlementDelayHours,SettlementStatus,PendingTxns,FrozenFunds,,,,,,,,,,,
674268,14-02-2024,U0248275,tamil_nadu,supermoney,372,Success,560,Bill,App,Android,1.91,Settled,0,0,,,,tamil_nadu,321,,,,Pending,47,47
674269,16-02-2024,U0190774,jharkhand,google_pay,330,Success,124,Bill,App,Android,0.26,Settled,0,0,,,,delhi,309,,,,Grand Total,7000,7000
674270,16-02-2024,U0072029,andhra_pradesh,google_pay,3361,Success,448,P2P,App,iOS,1.14,Settled,0,0,,,,uttar_pradesh,307,,,,,,
674271,06-02-2024,U0413574,jharkhand,google_pay,280,Success,472,P2P,App,iOS,1.49,Settled,0,0,,,,madhya_pradesh,295,,,,,,
674272,03-02-2024,U0148478,chhattisgarh,paytm,1185,Success,197,Bill,App,Android,0.39,Settled,0,0,,,,gujarat,294,,,,,,
674273,01-02-2024,U0078766,maharashtra,amazon_pay,151,Success,266,Bill,Web,iOS,2.26,Settled,0,0,,,,kerala,289,,,,,,
674274,23-02-2024,U0031692,telangana,google_pay,1091,Success,143,P2M,Web,iOS,1.64,Settled,0,0,,,,rajasthan,278,,,,,,
674275,02-02-2024,U0345285,kerala,amazon_pay,388,Success,967,Recharge,Web,Android,0.55,Settled,0,0,,,,west_bengal,278,,,,,,
674276,05-02-2024,U0394141,mizoram,supermoney,142,Success,868,P2M,App,Android,3.67,Settled,0,0,,,,odisha,266,,,,,,
674277,04-02-2024,U0168205,goa,amazon_pay,218,Success,172,P2M,App,Android,4.57,Settled,0,0,,,,punjab,253,,,,,,
674278,15-02-2024,U0024787,odisha,google_pay,407,Success,892,P2P,App,iOS,0.64,Settled,0,0,,,,telangana,248,,,,,,
674279,20-02-2024,U0325559,tamil_nadu,supermoney,158,Success,811,Bill,App,Android,1.34,Settled,0,0,,,,haryana,233,,,,,,
674280,10-02-2024,U0476888,madhya_pradesh,supermoney,1382,Success,860,P2P,App,Android,2.38,Settled,0,0,,,,andhra_pradesh,233,,,,,,
674281,07-02-2024,U0086518,bihar,google_pay,1327,Success,550,P2P,App,Android,0.21,Settled,0,0,,,,uttarakhand,223,,,,,,
674282,05-02-2024,U0016030,tamil_nadu,paytm,220,Success,721,Bill,Web,Android,1.62,Settled,0,0,,,,jharkhand,213,,,,,,
674283,11-02-2024,U0475264,nagaland,google_pay,239,Success,618,P2M,App,iOS,0.49,Settled,0,0,,,,goa,198,,,,,,
674284,10-02-2024,U0418063,karnataka,amazon_pay,150,Success,738,P2P,App,iOS,1.06,Settled,0,0,,,,assam,191,,,,,,
674285,16-02-2024,U0117951,madhya_pradesh,amazon_pay,2439,Success,107,Recharge,App,Android,0.87,Settled,0,0,,,,chhattisgarh,190,,,,,,
674286,17-02-2024,U0068224,maharashtra,amazon_pay,286,Success,280,P2P,App,Android,0.5,Settled,0,0,,,,meghalaya,190,,,,,,
674287,20-02-2024,U0365911,mizoram,phonepe,28,Success,439,Recharge,App,iOS,3.19,Settled,0,0,,,,manipur,162,,,,,,
674288,23-02-2024,U0013289,meghalaya,google_pay,535,Success,534,P2P,Web,Android,0.67,Settled,0,0,,,,nagaland,159,,,,,,
674289,18-02-2024,U0063020,madhya_pradesh,google_pay,3589,Success,145,Recharge,Web,Android,0.51,Settled,0,0,,,,mizoram,156,,,,,,
674290,04-02-2024,U0042984,nagaland,paytm,17,Success,575,Recharge,App,Android,2.01,Settled,0,0,,,,chandigarh,146,,,,,,
674291,18-02-2024,U0197566,maharashtra,phonepe,378,Success,840,Bill,App,Android,0.2,Settled,0,0,,,,tripura,145,,,,,,
674292,09-02-2024,U0176330,madhya_pradesh,google_pay,837,Success,544,Bill,App,Android,1.66,Settled,0,0,,,,sikkim,143,,,,,,
674293,06-02-2024,U0015358,chandigarh,google_pay,422,Success,538,Bill,App,Android,0.27,Settled,0,0,,,,arunachal_pradesh,141,,,,,,
674294,27-02-2024,U0226855,karnataka,phonepe,160,Success,193,P2M,App,Android,1.75,Settled,0,0,,,,jammu_kashmir,114,,,,,,
674295,18-02-2024,U0224885,madhya_pradesh,amazon_pay,757,Success,434,P2P,App,Android,0.34,Settled,0,0,,,,Grand Total,7000,,,,,,
674296,11-02-2024,U0015842,mizoram,paytm,791,Success,137,P2P,Web,Android,3.24,Settled,0,0,,,,,,,,,,,
674297,06-02-2024,U0372071,madhya_pradesh,phonepe,490,Success,198,P2P,App,Android,1.12,Settled,0,0,,,,,,,,,,,
674298,19-02-2024,U0469252,west_bengal,phonepe,153,Success,246,P2P,App,Android,0.33,Settled,0,0,,,,,,,,,,,
674299,06-02-2024,U0067820,telangana,phonepe,1339,Success,987,Bill,App,Android,0.21,Settled,0,0,,,,,,,,,,,
674300,27-02-2024,U0307927,assam,paytm,100,Success,346,Bill,App,iOS,0.66,Settled,0,0,,,,,,,,,,,
674301,29-02-2024,U0070578,gujarat,google_pay,222,Success,360,Bill,App,Android,0.9,Settled,0,0,,,,,,,,,,,
674302,19-02-2024,U0416727,punjab,bhim,205,Success,579,Recharge,App,Android,0.4,Settled,0,0,,,,,,,,,,,
674303,24-02-2024,U0155938,delhi,phonepe,135,Success,674,Recharge,App,iOS,1.24,Settled,0,0,,,,,,,,,,,
674304,10-02-2024,U0194753,west_bengal,paytm,339,Success,347,P2M,App,Android,0.35,Settled,0,0,,,,,,,,,,,
674305,09-02-2024,U0259106,jharkhand,paytm,314,Success,313,Bill,App,iOS,2.04,Settled,0,0,,,,,,,,,,,
674306,01-02-2024,U0316125,haryana,amazon_pay,833,Success,561,P2M,App,iOS,0.25,Settled,0,0,,,,,,,,,,,
674307,05-02-2024,U0133870,telangana,phonepe,206,Success,346,Recharge,App,iOS,2.74,Settled,0,0,,,,,,,,,,,
674308,05-02-2024,U0103768,maharashtra,amazon_pay,180,Success,166,P2M,App,Android,1.52,Settled,0,0,,,,,,,,,,,
674309,16-02-2024,U0385906,chhattisgarh,paytm,754,Success,803,P2P,App,Android,5.74,Settled,0,0,,,,,,,,,,,
674310,11-02-2024,U0136383,andhra_pradesh,google_pay,492,Success,686,P2P,App,Android,2.47,Settled,0,0,,,,,,,,,,,
674311,10-02-2024,U0470717,gujarat,amazon_pay,506,Success,392,P2M,App,Android,0.75,Settled,0,0,,,,,,,,,,,
674312,22-02-2024,U0246215,karnataka,google_pay,59,Success,506,Bill,App,Android,0.05,Settled,0,0,,,,,,,,,,,
674313,11-02-2024,U0083504,jharkhand,paytm,3868,Success,332,P2P,App,Android,3.16,Settled,0,0,,,,,,,,,,,
674314,01-02-2024,U0138594,madhya_pradesh,phonepe,3946,Success,891,P2P,Web,Android,0.81,Settled,0,0,,,,,,,,,,,
674315,19-02-2024,U0075789,uttarakhand,bhim,473,Success,254,P2M,App,Android,4.33,Settled,0,0,,,,,,,,,,,
674316,18-02-2024,U0274262,madhya_pradesh,google_pay,337,Success,647,P2P,App,Android,0.09,Settled,0,0,,,,,,,,,,,
674317,09-02-2024,U0300480,tripura,phonepe,89,Success,163,Recharge,App,Android,0.67,Settled,0,0,,,,,,,,,,,
674318,26-02-2024,U0012219,karnataka,google_pay,532,Success,713,P2P,App,Android,0.88,Settled,0,0,,,,,,,,,,,
674319,04-02-2024,U0408746,bihar,amazon_pay,1422,Success,625,P2P,App,iOS,0.96,Settled,0,0,,,,,,,,,,,
674320,02-02-2024,U0435312,uttar_pradesh,phonepe,47,Success,931,P2P,App,Android,2.38,Settled,0,0,,,,,,,,,,,
674321,08-02-2024,U0048756,rajasthan,amazon_pay,88,Success,384,P2M,App,iOS,0.22,Settled,0,0,,,,,,,,,,,
674322,04-02-2024,U0346978,jharkhand,phonepe,252,Success,798,P2M,App,iOS,0.04,Settled,0,0,,,,,,,,,,,
674323,16-02-2024,U0268348,delhi,amazon_pay,253,Success,840,Recharge,App,Android,1.26,Settled,0,0,,,,,,,,,,,
674324,08-02-2024,U0085217,punjab,phonepe,390,Success,380,Recharge,App,Android,3.58,Settled,0,0,,,,,,,,,,,
674325,26-02-2024,U0096702,telangana,phonepe,899,Success,774,P2P,App,Android,2.14,Settled,0,0,,,,,,,,,,,
674326,12-02-2024,U0157952,odisha,google_pay,236,Success,777,Bill,Web,Android,0.11,Settled,0,0,,,,,,,,,,,
674327,24-02-2024,U0221149,delhi,phonepe,1459,Success,513,Bill,App,Android,1.25,Settled,0,0,,,,,,,,,,,
674328,24-02-2024,U0039647,chandigarh,google_pay,489,Success,584,P2P,App,iOS,3.22,Settled,0,0,,,,,,,,,,,
674329,09-02-2024,U0128811,haryana,paytm,513,Success,932,P2M,App,Android,0.47,Settled,0,0,,,,,,,,,,,
674330,09-02-2024,U0142455,maharashtra,google_pay,66,Success,388,P2P,App,Android,3.76,Settled,0,0,,,,,,,,,,,
674331,20-02-2024,U0393847,haryana,paytm,448,Success,202,P2M,App,Android,2.48,Settled,0,0,,,,,,,,,,,
674332,24-02-2024,U0289215,west_bengal,bhim,1070,Success,284,Bill,App,iOS,1.58,Settled,0,0,,,,,,,,,,,
674333,23-02-2024,U0051239,goa,phonepe,407,Failed,819,P2P,App,Android,,Pending,0,1,,,,,,,,,,,
674334,18-02-2024,U0317381,sikkim,phonepe,294,Success,416,Recharge,App,Android,0.72,Settled,0,0,,,,,,,,,,,
674335,23-02-2024,U0256381,maharashtra,google_pay,295,Success,179,Bill,App,iOS,0.79,Settled,0,0,,,,,,,,,,,
674336,13-02-2024,U0316123,goa,google_pay,116,Success,436,Recharge,Web,Android,0.09,Settled,0,0,,,,,,,,,,,
674337,19-02-2024,U0416110,uttar_pradesh,phonepe,318,Success,907,Bill,App,Android,0.53,Settled,0,0,,,,,,,,,,,
674338,02-02-2024,U0389882,goa,phonepe,205,Success,781,P2M,App,Android,0.15,Settled,0,0,,,,,,,,,,,
674339,10-02-2024,U0281024,mizoram,google_pay,408,Success,965,Recharge,App,Android,0.27,Settled,0,0,,,,,,,,,,,
674340,10-02-2024,U0432821,goa,phonepe,165,Success,407,Recharge,Web,Android,1.76,Settled,0,0,,,,,,,,,,,
674341,23-02-2024,U0124206,west_bengal,phonepe,102,Success,461,P2M,App,Android,0.97,Settled,0,0,,,,,,,,,,,
674342,19-02-2024,U0399274,arunachal_pradesh,bhim,1776,Success,463,Bill,App,Android,3.65,Settled,0,0,,,,,,,,,,,
674343,08-02-2024,U0150485,andhra_pradesh,google_pay,4093,Success,592,Bill,App,Android,2.51,Settled,0,0,,,,,,,,,,,
674344,03-02-2024,U0337898,arunachal_pradesh,paytm,554,Success,732,Bill,App,Android,3.2,Settled,0,0,,,,,,,,,,,
674345,02-02-2024,U0171778,mizoram,phonepe,540,Failed,321,Bill,App,iOS,,Pending,0,0,,,,,,,,,,,
674346,06-02-2024,U0383823,chhattisgarh,amazon_pay,54,Success,344,Recharge,App,Android,2.77,Settled,0,0,,,,,,,,,,,
674347,22-02-2024,U0252697,jharkhand,phonepe,1310,Success,120,P2P,App,iOS,0.13,Settled,0,0,,,,,,,,,,,
674348,04-02-2024,U0127295,jharkhand,amazon_pay,1349,Success,276,Recharge,App,iOS,2.69,Settled,0,0,,,,,,,,,,,
674349,01-02-2024,U0122637,jammu_kashmir,phonepe,244,Success,897,Bill,App,Android,1.71,Settled,0,0,,,,,,,,,,,
674350,27-02-2024,U0182996,telangana,paytm,45,Success,993,P2M,App,Android,0.61,Settled,0,0,,,,,,,,,,,
674351,25-02-2024,U0436540,delhi,paytm,949,Success,207,P2M,App,Android,0.26,Settled,0,0,,,,,,,,,,,
674352,12-02-2024,U0077703,karnataka,google_pay,134,Success,583,P2M,App,Android,2.39,Settled,0,0,,,,,,,,,,,
674353,05-02-2024,U0077070,tamil_nadu,paytm,947,Success,500,Bill,App,Android,1,Settled,0,0,,,,,,,,,,,
674354,11-02-2024,U0079690,goa,phonepe,930,Success,595,Bill,App,Other,0.75,Settled,0,0,,,,,,,,,,,
674355,25-02-2024,U0211778,sikkim,phonepe,1278,Success,660,Bill,App,Other,0.32,Settled,0,0,,,,,,,,,,,
674356,10-02-2024,U0499462,punjab,bhim,933,Success,746,P2P,App,iOS,1.65,Settled,0,0,,,,,,,,,,,
674357,10-02-2024,U0083366,gujarat,bhim,558,Success,716,P2P,Web,Android,0.16,Settled,0,0,,,,,,,,,,,
674358,18-02-2024,U0202054,arunachal_pradesh,google_pay,31,Success,226,Recharge,App,Android,1.69,Settled,0,0,,,,,,,,,,,
674359,07-02-2024,U0441544,chhattisgarh,phonepe,739,Success,620,Recharge,App,Android,3.84,Settled,0,0,,,,,,,,,,,
674360,09-02-2024,U0409249,jammu_kashmir,amazon_pay,442,Success,339,Recharge,App,Other,2.38,Settled,0,0,,,,,,,,,,,
674361,01-02-2024,U0083480,manipur,google_pay,1984,Success,210,P2P,App,Android,1.03,Settled,0,0,,,,,,,,,,,
674362,22-02-2024,U0221114,jammu_kashmir,supermoney,155,Success,480,Bill,App,iOS,2.36,Settled,0,0,,,,,,,,,,,
674363,08-02-2024,U0208645,karnataka,phonepe,327,Success,744,Recharge,App,Android,1.64,Settled,0,0,,,,,,,,,,,
674364,23-02-2024,U0250725,jharkhand,google_pay,224,Success,504,Bill,App,iOS,3.59,Settled,0,0,,,,,,,,,,,
674365,08-02-2024,U0111319,goa,google_pay,212,Success,277,Bill,App,iOS,0.79,Settled,0,0,,,,,,,,,,,
674366,03-02-2024,U0405343,tamil_nadu,phonepe,561,Success,437,P2P,Web,Android,2.39,Settled,0,0,,,,,,,,,,,
674367,03-02-2024,U0301763,jharkhand,phonepe,152,Success,641,Bill,App,Android,1.33,Settled,0,0,,,,,,,,,,,
674368,24-02-2024,U0483786,uttarakhand,phonepe,1667,Success,840,Bill,App,Android,0.11,Settled,0,0,,,,,,,,,,,
674369,25-02-2024,U0110945,madhya_pradesh,phonepe,59,Success,420,Recharge,Web,Android,0.66,Settled,0,0,,,,,,,,,,,
674370,04-02-2024,U0233060,tamil_nadu,paytm,379,Success,306,P2P,App,Android,1.5,Settled,0,0,,,,,,,,,,,
674371,19-02-2024,U0393595,nagaland,amazon_pay,1633,Success,759,Bill,App,Android,0.79,Settled,0,0,,,,,,,,,,,
674372,10-02-2024,U0294065,nagaland,google_pay,89,Success,588,P2P,App,Android,2.77,Settled,0,0,,,,,,,,,,,
674373,01-02-2024,U0477152,kerala,google_pay,924,Success,235,P2M,App,iOS,1.27,Settled,0,0,,,,,,,,,,,
674374,09-02-2024,U0337994,sikkim,supermoney,2720,Success,706,Recharge,App,Android,2.45,Settled,0,0,,,,,,,,,,,
674375,20-02-2024,U0259308,arunachal_pradesh,google_pay,1019,Success,936,Bill,App,Android,0.01,Settled,0,0,,,,,,,,,,,
674376,26-02-2024,U0469767,arunachal_pradesh,phonepe,3163,Success,627,Recharge,App,Android,3.73,Settled,0,0,,,,,,,,,,,
674377,28-02-2024,U0407946,telangana,phonepe,1256,Success,397,P2P,Web,Android,1.69,Settled,0,0,,,,,,,,,,,
674378,01-02-2024,U0046730,jharkhand,paytm,507,Success,762,Bill,App,Android,1.06,Settled,0,0,,,,,,,,,,,
674379,18-02-2024,U0447981,goa,google_pay,595,Success,242,P2M,App,Android,2.72,Settled,0,0,,,,,,,,,,,
674380,08-02-2024,U0446082,west_bengal,google_pay,320,Success,451,P2P,App,Android,1.41,Settled,0,0,,,,,,,,,,,
674381,20-02-2024,U0143605,chhattisgarh,paytm,493,Success,677,P2M,Web,Android,1.08,Settled,0,0,,,,,,,,,,,
674382,16-02-2024,U0198565,nagaland,amazon_pay,842,Success,223,Recharge,App,Android,0.04,Settled,0,0,,,,,,,,,,,
674383,06-02-2024,U0157836,karnataka,phonepe,382,Success,787,P2P,App,Android,0.06,Settled,0,0,,,,,,,,,,,
674384,04-02-2024,U0357147,punjab,bhim,440,Success,735,P2M,App,Other,0.81,Settled,0,0,,,,,,,,,,,
674385,26-02-2024,U0056105,gujarat,google_pay,693,Success,704,P2M,App,iOS,2.05,Settled,0,0,,,,,,,,,,,
674386,12-02-2024,U0103342,haryana,phonepe,379,Success,333,Recharge,Web,Android,3.44,Settled,0,0,,,,,,,,,,,
674387,11-02-2024,U0008390,haryana,google_pay,235,Success,786,P2P,Web,Android,2.95,Settled,0,0,,,,,,,,,,,
674388,11-02-2024,U0327093,west_bengal,phonepe,2305,Success,823,Bill,App,Android,0.82,Settled,0,0,,,,,,,,,,,
674389,28-02-2024,U0466287,manipur,phonepe,113,Success,855,P2M,App,iOS,0.6,Settled,0,0,,,,,,,,,,,
674390,11-02-2024,U0022939,karnataka,paytm,1158,Success,602,P2P,App,Android,3.71,Settled,0,0,,,,,,,,,,,
674391,06-02-2024,U0264281,karnataka,amazon_pay,127,Success,733,Bill,App,iOS,1.03,Settled,0,0,,,,,,,,,,,
674392,20-02-2024,U0248781,uttar_pradesh,phonepe,304,Success,959,Recharge,App,Android,1.5,Settled,0,0,,,,,,,,,,,
674393,08-02-2024,U0168174,madhya_pradesh,google_pay,4430,Success,428,P2M,App,Android,1.27,Settled,0,0,,,,,,,,,,,
674394,21-02-2024,U0155443,andhra_pradesh,bhim,490,Success,524,Bill,App,Android,0.58,Settled,0,0,,,,,,,,,,,
674395,21-02-2024,U0229939,nagaland,phonepe,137,Success,115,P2M,App,Android,0.59,Settled,0,0,,,,,,,,,,,
674396,19-02-2024,U0395524,gujarat,amazon_pay,145,Success,193,Bill,Web,Android,0.95,Settled,0,0,,,,,,,,,,,
674397,04-02-2024,U0379043,rajasthan,amazon_pay,579,Success,627,P2P,App,Android,0.79,Settled,0,0,,,,,,,,,,,
674398,02-02-2024,U0202581,maharashtra,amazon_pay,1550,Success,371,Bill,App,iOS,1.25,Settled,0,0,,,,,,,,,,,
674399,01-02-2024,U0468450,arunachal_pradesh,phonepe,189,Success,861,P2M,App,Android,3.86,Settled,0,0,,,,,,,,,,,
674400,20-02-2024,U0440489,manipur,google_pay,836,Success,817,Bill,App,Android,0.81,Settled,0,0,,,,,,,,,,,
674401,21-02-2024,U0359512,assam,bhim,485,Success,268,Recharge,Web,iOS,0.62,Settled,0,0,,,,,,,,,,,
674402,23-02-2024,U0084494,andhra_pradesh,supermoney,2241,Success,602,P2M,App,Android,0.71,Settled,0,0,,,,,,,,,,,
674403,17-02-2024,U0228425,manipur,paytm,1468,Success,151,P2P,App,iOS,2.39,Settled,0,0,,,,,,,,,,,
674404,13-02-2024,U0034802,kerala,phonepe,33,Success,899,Recharge,App,Android,0.9,Settled,0,0,,,,,,,,,,,
674405,27-02-2024,U0135880,nagaland,google_pay,218,Success,716,P2P,App,Android,1.98,Settled,0,0,,,,,,,,,,,
674406,02-02-2024,U0135218,madhya_pradesh,bhim,107,Success,586,P2P,App,Android,5.96,Settled,0,0,,,,,,,,,,,
674407,21-02-2024,U0214586,sikkim,google_pay,1496,Success,918,P2M,App,Android,2.14,Settled,0,0,,,,,,,,,,,
674408,21-02-2024,U0239799,delhi,amazon_pay,1164,Success,336,P2P,App,Android,1.47,Settled,0,0,,,,,,,,,,,
674409,16-02-2024,U0428016,jammu_kashmir,google_pay,1132,Success,207,Recharge,App,Android,0.53,Settled,0,0,,,,,,,,,,,
674410,26-02-2024,U0130450,arunachal_pradesh,google_pay,40,Success,195,Recharge,App,Android,0.97,Settled,0,0,,,,,,,,,,,
674411,08-02-2024,U0398207,uttarakhand,google_pay,245,Success,557,P2P,App,iOS,1.38,Settled,0,0,,,,,,,,,,,
674412,15-02-2024,U0174798,maharashtra,supermoney,127,Success,479,P2P,Web,Android,2.18,Settled,0,0,,,,,,,,,,,
674413,25-02-2024,U0131590,andhra_pradesh,google_pay,216,Success,405,P2P,App,Android,0.78,Settled,0,0,,,,,,,,,,,
674414,29-02-2024,U0216631,karnataka,phonepe,31,Success,413,P2P,App,Android,2.19,Settled,0,0,,,,,,,,,,,
674415,13-02-2024,U0446748,jharkhand,google_pay,439,Success,411,P2P,App,iOS,0.02,Settled,0,0,,,,,,,,,,,
674416,01-02-2024,U0150990,odisha,google_pay,223,Success,872,P2M,App,Android,0.15,Settled,0,0,,,,,,,,,,,
674417,17-02-2024,U0064397,karnataka,supermoney,359,Success,742,P2M,App,iOS,0.26,Settled,0,0,,,,,,,,,,,
674418,12-02-2024,U0355902,chhattisgarh,phonepe,334,Success,880,P2P,App,Android,2.19,Settled,0,0,,,,,,,,,,,
674419,16-02-2024,U0298986,haryana,amazon_pay,707,Success,860,P2M,Web,iOS,0.12,Settled,0,0,,,,,,,,,,,
674420,01-02-2024,U0467443,meghalaya,phonepe,787,Success,126,Bill,App,Android,0.03,Settled,0,0,,,,,,,,,,,
674421,22-02-2024,U0005254,punjab,amazon_pay,1616,Success,930,Recharge,App,Android,1.82,Settled,0,0,,,,,,,,,,,
674422,19-02-2024,U0047615,kerala,google_pay,177,Success,866,P2M,App,Android,1.38,Settled,0,0,,,,,,,,,,,
674423,12-02-2024,U0411051,bihar,phonepe,458,Success,789,Recharge,App,Android,0.26,Settled,0,0,,,,,,,,,,,
674424,17-02-2024,U0469867,sikkim,bhim,1745,Failed,204,Bill,App,Android,,Pending,0,1,,,,,,,,,,,
674425,29-02-2024,U0496426,arunachal_pradesh,phonepe,534,Success,434,Recharge,App,Android,8.05,Settled,0,0,,,,,,,,,,,
674426,07-02-2024,U0426883,telangana,phonepe,85,Success,745,Recharge,App,Android,0.62,Settled,0,0,,,,,,,,,,,
674427,20-02-2024,U0480893,nagaland,phonepe,78,Success,374,Recharge,App,Android,1.24,Settled,0,0,,,,,,,,,,,
674428,18-02-2024,U0101924,tamil_nadu,amazon_pay,156,Success,467,P2M,App,iOS,1.2,Settled,0,0,,,,,,,,,,,
674429,02-02-2024,U0316337,delhi,phonepe,292,Pending,561,P2M,App,iOS,,Pending,1,0,,,,,,,,,,,
674430,01-02-2024,U0141720,west_bengal,amazon_pay,2049,Success,189,P2M,App,Android,0.5,Settled,0,0,,,,,,,,,,,
674431,17-02-2024,U0097380,gujarat,amazon_pay,528,Failed,344,P2P,App,Android,,Pending,0,0,,,,,,,,,,,
674432,20-02-2024,U0160208,odisha,paytm,1075,Success,143,P2P,App,Android,0.48,Settled,0,0,,,,,,,,,,,
674433,08-02-2024,U0009829,goa,amazon_pay,1144,Success,488,Bill,Web,Android,0.2,Settled,0,0,,,,,,,,,,,
674434,29-02-2024,U0070627,odisha,google_pay,249,Success,339,Bill,Web,Android,3.62,Settled,0,0,,,,,,,,,,,
674435,24-02-2024,U0237719,haryana,amazon_pay,526,Success,985,Bill,App,Android,0.09,Settled,0,0,,,,,,,,,,,
674436,16-02-2024,U0297476,sikkim,google_pay,3548,Success,613,Bill,App,iOS,0.6,Settled,0,0,,,,,,,,,,,
674437,26-02-2024,U0216893,west_bengal,phonepe,343,Success,971,P2P,Web,Android,4.73,Settled,0,0,,,,,,,,,,,
674438,17-02-2024,U0255306,tamil_nadu,bhim,1661,Success,919,P2P,App,Android,0.04,Settled,0,0,,,,,,,,,,,
674439,18-02-2024,U0319481,arunachal_pradesh,amazon_pay,4646,Success,963,Recharge,App,iOS,0.46,Settled,0,0,,,,,,,,,,,
674440,26-02-2024,U0317971,jharkhand,phonepe,372,Success,109,Bill,App,Android,0.22,Settled,0,0,,,,,,,,,,,
674441,08-02-2024,U0062338,karnataka,supermoney,603,Success,823,P2M,App,iOS,0.19,Settled,0,0,,,,,,,,,,,
674442,25-02-2024,U0034179,arunachal_pradesh,phonepe,8933,Success,424,P2M,Web,iOS,0.26,Settled,0,0,,,,,,,,,,,
674443,26-02-2024,U0286484,tripura,google_pay,1058,Success,717,Bill,App,Android,3.43,Settled,0,0,,,,,,,,,,,
674444,20-02-2024,U0061552,chhattisgarh,supermoney,933,Failed,655,P2M,App,Android,,Pending,0,1,,,,,,,,,,,
674445,13-02-2024,U0454421,sikkim,google_pay,900,Success,715,P2M,App,Android,0.64,Settled,0,0,,,,,,,,,,,
674446,08-02-2024,U0301326,rajasthan,supermoney,1526,Success,150,Bill,Web,iOS,2.77,Settled,0,0,,,,,,,,,,,
674447,16-02-2024,U0376605,west_bengal,paytm,98,Success,152,Recharge,App,iOS,2.73,Settled,0,0,,,,,,,,,,,
674448,24-02-2024,U0016017,andhra_pradesh,google_pay,462,Success,941,Recharge,App,Android,2.81,Settled,0,0,,,,,,,,,,,
674449,12-02-2024,U0118345,assam,google_pay,181,Success,603,P2M,App,iOS,0.33,Settled,0,0,,,,,,,,,,,
674450,20-02-2024,U0441140,andhra_pradesh,phonepe,129,Success,770,Bill,App,iOS,4.78,Settled,0,0,,,,,,,,,,,
674451,13-02-2024,U0109392,maharashtra,phonepe,296,Success,385,Recharge,App,Android,0.03,Settled,0,0,,,,,,,,,,,
674452,18-02-2024,U0375294,arunachal_pradesh,amazon_pay,1062,Success,938,Bill,App,Android,1.7,Settled,0,0,,,,,,,,,,,
674453,11-02-2024,U0317704,madhya_pradesh,google_pay,1048,Success,340,Recharge,App,iOS,3.32,Settled,0,0,,,,,,,,,,,
674454,04-02-2024,U0361599,maharashtra,google_pay,593,Success,445,P2P,App,Android,0.27,Settled,0,0,,,,,,,,,,,
674455,09-02-2024,U0154995,uttarakhand,paytm,598,Success,404,P2P,App,Android,1.32,Settled,0,0,,,,,,,,,,,
